"first_name","last_name","sex"
"Hercules","Baer","M"
"Hercules","Biron","F"
"Hercules","Birge","F"
"Hercules","Berstel","F"
"Hercules","Bernatsky","M"
"Hercules","Bail","F"
"Hercules","Benantar","F"
"Hercules","Bodoff","M"
"Hercules","Basagni","M"
"Hercules","Bisiani","F"
"Hercules","Bernardinello","F"
"Hercules","Baranowski","M"
"Hercules","Bahr","M"
"Hercules","Benzmuller","M"
"Hercules","Biran","F"
"Hercules","Buchter","M"
"Hercules","Bain","F"
"Hercules","Brendel","F"
"Hercules","Barreiro","M"
"Hercules","Baak","M"
