"employee_name","emp_no","dept_name"
"Bezalel Simmel",10002,"Sales"
"Kazuhito Cappelletti",10016,"Sales"
"Bader Swan",10034,"Sales"
"Uri Lenart",10041,"Sales"
"Yinghua Dredge",10050,"Sales"
"Sanjiv Zschoche",10053,"Sales"
"Breannda Billingsley",10060,"Sales"
"Tse Herber",10061,"Sales"
"Charlene Brattka",10068,"Sales"
"Xinglin Eugenio",10087,"Sales"
"Jungsoon Syrzycki",10088,"Sales"
"Sudharsan Flasterstein",10089,"Sales"
"Sailaja Desikan",10093,"Sales"
"Hilari Morton",10095,"Sales"
"Valter Sullins",10099,"Sales"
"Perla Heyers",10101,"Sales"
"Dung Baca",10107,"Sales"
"Syozo Hiltgen",10125,"Sales"
"Zissis Pintelas",10136,"Sales"
"Douadi Azumi",10148,"Sales"
"Xiadong Perry",10149,"Sales"
"Itzchak Lichtner",10151,"Sales"
"Debatosh Khasidashvili",10160,"Sales"
"Valery Litvinov",10178,"Sales"
"Duro Sidhu",10185,"Sales"
"Kazuhisa Ranta",10199,"Sales"
"Yolla Ellozy",10209,"Sales"
"Tadahiko Ciolek",10214,"Sales"
"Xiaobin Duclos",10215,"Sales"
"Xinglin Plessier",10226,"Sales"
"Karoline Cesareni",10228,"Sales"
"Marko Auria",10232,"Sales"
"Arunachalam Bakhtari",10234,"Sales"
"Susumu Bade",10236,"Sales"
"Yannis Mandell",10237,"Sales"
"Wonhee Pouyioutas",10243,"Sales"
"Frederique Tempesti",10248,"Sales"
"Zsolt Salinas",10253,"Sales"
"Shen Brattka",10254,"Sales"
"Irene Radhakrishnan",10256,"Sales"
"Mahendra Maraist",10262,"Sales"
"Bedir Hartvigsen",10270,"Sales"
"Baocai Lieblein",10273,"Sales"
"Isaac Schwartzbauer",10277,"Sales"
"Dipayan Seghrouchni",10291,"Sales"
"Yucel Ghelli",10292,"Sales"
"Petter Lorho",10296,"Sales"
"Ipke Stentiford",10299,"Sales"
"Faiza Baer",10302,"Sales"
"Bernt Erie",10304,"Sales"
"Heng Kilgour",10306,"Sales"
"Dzung Holburn",10308,"Sales"
"Christfried Apsitis",10314,"Sales"
"Mechthild Miyakawa",10319,"Sales"
"Uinam Stasinski",10320,"Sales"
"Guenter Ravishankar",10321,"Sales"
"Kasturi Bellmore",10330,"Sales"
"Arto Binkley",10331,"Sales"
"Toshimori Bahi",10335,"Sales"
"Aamod Radwan",10346,"Sales"
"Satyanarayana Cochrane",10355,"Sales"
"Seshu Sidou",10361,"Sales"
"Qunsheng Toyoshima",10369,"Sales"
"Clyde Fandrianto",10370,"Sales"
"Willard Rosin",10374,"Sales"
"Dante Kalafatis",10375,"Sales"
"Takahira Lichtner",10378,"Sales"
"Alejandro Kamble",10380,"Sales"
"Hironoby Kaiser",10388,"Sales"
"Shooichi Escriba",10398,"Sales"
"Guenter Marchegay",10399,"Sales"
"Ortrud Nitto",10400,"Sales"
"Atreyi Mungall",10403,"Sales"
"Ulf Siepmann",10407,"Sales"
"Martijn Kaiser",10408,"Sales"
"Takahito Gecsei",10410,"Sales"
"Lidong Klerer",10411,"Sales"
"Bingning Bakhtari",10417,"Sales"
